"","business_id","name","address","city","state","postal_code","latitude","longitude","categories"
"1","gbQN7vr_caG_A1ugSmGhWg","Supercuts","4545 E Tropicana Rd Ste 8, Tropicana","Las Vegas","NV","89121",36.099872,-115.074574,"Hair Salons, Hair Stylists, Barbers, Men's Hair Salons, Cosmetics & Beauty Supply, Shopping, Beauty & Spas"
"2","LB6ZyCfUzeX9OLdunHhnOQ","Ross Dress for Less","8800 W Charleston Blvd","Las Vegas","NV","89117",36.161805,-115.2872775,"Shopping, Home & Garden, Department Stores, Men's Clothing, Fashion, Women's Clothing, Discount Store, Home Decor"
"3","HVPcIcqiJkrpD36xZFGN6g","Bank of America","3150 N Rainbow Blvd","Las Vegas","NV","89108",36.2166671,-115.2420267,"Home Services, Real Estate, Financial Services, Banks & Credit Unions, Mortgage Brokers"
"4","a_TfmuLIHsRDyg7aVJQCBQ","Bank of America","4910 S Fort Apache Rd","Las Vegas","NV","89148",36.0995915313,-115.2966786677,"Financial Services, Banks & Credit Unions"
"5","sKhDrZFCJqfRNylkHrIDsQ","Starbucks","1990 Village Center Circle, Suite 1","Las Vegas","NV","89134",36.191852,-115.304983,"Food, Coffee & Tea"
"6","j8Sdor4_SkPBD7fhC8IS8w","Autozone","3185 E Desert Inn Rd","Las Vegas","NV","89121",36.1292638,-115.1058591,"Automotive, Auto Parts & Supplies"
"7","dusNIzdCaH6EoLl2hRy6cQ","Chipotle Mexican Grill","3475 Las Vegas Blvd S","Las Vegas","NV","89109",36.120095,-115.171769,"Fast Food, Mexican, Restaurants"
"8","7v-2HkyrfYkPf471v4gCmg","Starbucks","7400 S. Las Vegas Blvd.","Las Vegas","NV","89123",36.0539460743,-115.169012,"Food, Coffee & Tea"
"9","H2Chxto2e6dHTDJ8-s3-pQ","Roberto's Taco Shop","2685 S Eastern Ave","Las Vegas","NV","89169",36.1410796647,-115.1193113918,"Mexican, Fast Food, Restaurants"
"10","rdZRHPoTmKd7fKnEJLjCDA","Autozone","3455 S Decatur Blvd","Las Vegas","NV","89102",36.12663,-115.2086926,"Automotive, Auto Repair, Auto Parts & Supplies"
"11","3rFnH0MlGquQApfr4ss13Q","7-Eleven","4158 Koval Ln","Las Vegas","NV","89109",36.1135255527,-115.1635032892,"Food, Coffee & Tea, Grocery, Convenience Stores"
"12","yYkvonvBGZB6UMnpzr6Ryw","Burger King","8600 W Cheyenne Ave","Las Vegas","NV","89129",36.2191204,-115.280934,"Restaurants, Burgers, Fast Food"
"13","6Ege_N9uJ-rtKIs1TNA8aQ","Jack in the Box","6451 Boulder Hwy","Las Vegas","NV","89122",36.0847797554,-115.0315821789,"Restaurants, Fast Food"
"14","E9cD-weHeU6TMf-VPKfPMQ","Walgreens","900 N Rancho Dr","Las Vegas","NV","89106",36.181515354,-115.1784762438,"Convenience Stores, Shopping, Cosmetics & Beauty Supply, Photography Stores & Services, Beauty & Spas, Drugstores, Food"
"15","K4z0ODOZNuN2uRnL4IwApw","Starbucks","129 East Fremont Street, Golden Nugget Las Vegas Casino, Golden Nugget Casino","Las Vegas","NV","89101",36.170871,-115.14492,"Food, Coffee & Tea"
"16","H2FohfCm8kVorCEzESF1MA","GNC","3170 N Rainbow Blvd","Las Vegas","NV","89108",36.2175289501,-115.2409671122,"Shopping, Nutritionists, Health Markets, Health & Medical, Vitamins & Supplements, Specialty Food, Food"
"17","FQpEfakfaMfByZ6Qe7fn4w","Great Clips","3101 N Rainbow Blvd","Las Vegas","NV","89108",36.2163907,-115.2445847,"Hair Salons, Beauty & Spas"
"18","s5o2gAlIk9gX-otfiUpFgw","Terrible Herbst","6065 W Sahara Ave","Las Vegas","NV","89146",36.1436378976,-115.224714978,"Gas Stations, Automotive"
"19","2qITBvSPsrXJPutDevpNOQ","Walgreens","9415 W Desert Inn Rd","Las Vegas","NV","89117",36.1293693,-115.2975473,"Convenience Stores, Beauty & Spas, Cosmetics & Beauty Supply, Food, Drugstores, Photography Stores & Services, Shopping"
"20","32FTAxYkehRO2lozvGszkQ","Subway","5061 E Sahara Ave, Ste 115","Las Vegas","NV","89142",36.1438977,-115.0641604,"Restaurants, Fast Food, Sandwiches"
"21","hySFMXFqyb7rNuxS8koNrQ","Taco Bell","4880 W. Frias Avenue","Las Vegas","NV","89141",36.00232,-115.20777,"Food, Fast Food, Restaurants, Tex-Mex, Mexican"
"22","AztVIokc5VtP4m8r6kSnWw","Subway","4860 Blue Diamond Rd","Las Vegas","NV","89139",36.0340897,-115.2074639,"Restaurants, Sandwiches, Fast Food"
"23","FAA1WhAqRDUabFTDjVsVvg","Dollar Tree","8500 S Eastern Ave","Las Vegas","NV","89123",36.0344600846,-115.1177401096,"Shopping, Discount Store"
"24","HNAH23RNUTTivzhebQTozw","Capriotti's Sandwich Shop","3355 Novat St, Ste 150","Las Vegas","NV","89129",36.2213965,-115.3298839,"Food, Sandwiches, Restaurants, Salad"
"25","d0N5HcdMCeXcX81hcRVUFw","McDonald's","2550 E Sunset Rd","Las Vegas","NV","89120",36.0719331817,-115.1153871417,"Fast Food, Restaurants, Food, Coffee & Tea, Burgers"
"26","6EARSVxeqMR1R33K9yNGmg","T-Mobile","1150 E Flamingo Rd, Ste 100","Las Vegas","NV","89119",36.1151111,-115.1393068,"Shopping, Mobile Phones"
"27","gPZj-XXVwFHgd8zjJPzVCw","Subway","7377 S Jones Blvd, Ste 105","Las Vegas","NV","89139",36.0552179,-115.2259209,"Sandwiches, Fast Food, Restaurants"
"28","Dv8kgcLrSb73xJR6LL976Q","Check City","6820 W Charleston Blvd","Las Vegas","NV","89117",36.1593703575,-115.2447725659,"Financial Advising, Insurance, Financial Services, Check Cashing/Pay-day Loans, Tax Services"
"29","_7wj87KZspahqDHxbXreMQ","Walgreens","2389 E Windmill Ln","Las Vegas","NV","89123",36.0418199,-115.1194244,"Beauty & Spas, Cosmetics & Beauty Supply, Food, Convenience Stores, Drugstores, Photography Stores & Services, Shopping"
"30","lSO9qpXaZZWufIZzH5L1IQ","Taco Bell","4300 Meadows Ln, Meadows Mall  10","Las Vegas","NV","89107",36.1726548,-115.1965118,"Fast Food, Restaurants, Tex-Mex, Mexican"
"31","5GzTTxyIJVRESNFOVPXHuw","Starbucks","5757 Paradise Rd., LAS Terminal D, Gate D55","Las Vegas","NV","89118",36.08637793,-115.1377086,"Coffee & Tea, Food"
"32","Q91cYZDYdoUB6WeVB6U6Dg","Starbucks","7350 S Rainbow Blvd","Las Vegas","NV","89139",36.054991,-115.241621,"Food, Coffee & Tea"
"33","mdyUiIvgtMo6BkWKm3ksVg","Bodyheat Tanning","7121 W Craig Rd, Ste 115","Las Vegas","NV","89129",36.2392241,-115.249437,"Beauty & Spas, Tanning"
"34","tzjUW8uffmsWcdkEe48Bmg","Quest Diagnostics","761 S Rainbow Blvd, Ste 100","Las Vegas","NV","89145",36.1644630432,-115.2447509766,"Health & Medical, Laboratory Testing, Medical Centers, Diagnostic Services"
"35","7Ppgpgva-HP3o3h-xp2sWw","McDonald's","8620 W Cheyenne Ave","Las Vegas","NV","89129",36.2190919,-115.281397,"Restaurants, Fast Food, Coffee & Tea, American (Traditional), Food, Burgers"
"36","FBvdo2I6705bTQXgiOdEoQ","Terrible Herbst","3520 Blue Diamond Rd","Las Vegas","NV","89139",36.0417535,-115.1885234,"Car Wash, Food, Convenience Stores, Gas Stations, Automotive"
"37","_teNNRGk80yssjeKIhLapw","Wells Fargo Bank","4182 Blue Diamond Rd","Las Vegas","NV","89139",36.0385984,-115.1956209,"Financial Services, Banks & Credit Unions"
"38","LFhF2la-C_vrNrQRz5GnIA","Burger King","2021 N Jones Blvd","Las Vegas","NV","89108",36.196713071,-115.2235798546,"Fast Food, Restaurants, Burgers"
"39","pif8Io-Jn2veckVGzkEyJw","Pizza Hut","6370 W. Flamingo Road, #17C","Las Vegas","NV","89103",36.115157,-115.2319877,"Chicken Wings, Pizza, Restaurants"
"40","UED302E-B2OyVr0mssARnA","Panda Express","6925 S Rainbow Blvd","Las Vegas","NV","89118",36.0627325626,-115.2429848747,"Fast Food, Restaurants, Chinese"
"41","x304fU0MqPjPxTC4iZyXxg","Wells Fargo Bank","2420 E Sunset Rd","Las Vegas","NV","89120",36.0721304,-115.1179043,"Banks & Credit Unions, Financial Services"
"42","8Y_PQ1l710Jv_xcAwGZabA","Starbucks","10260 W. Charleston Blvd., #1","Las Vegas","NV","89135",36.159381,-115.319598,"Cafes, Restaurants, Coffee & Tea, Food"
"43","TIUd6XX7-hF6EPF2NowMsA","Subway","8170 S Eastern Ave, Ste 12","Las Vegas","NV","89123",36.0410197,-115.1167131,"Restaurants, Fast Food, Sandwiches"
"44","9MK66QkfnTp6BxZudH9wxg","Capriotti's Sandwich Shop","325 N Nellis Blvd","Las Vegas","NV","89110",36.168028,-115.062472,"Sandwiches, Restaurants, Salad, Burgers"
"45","xDvl_i1g1HCJ4EmIRmwfqg","Denny's","450 Fremont St","Las Vegas","NV","89101",36.1699356,-115.1414301,"Diners, Restaurants, American (Traditional), Breakfast & Brunch, Sandwiches"
"46","Nu1jBHpBUSL14an4TEbNLg","The UPS Store","3395 S Jones Blvd","Las Vegas","NV","89146",36.127733,-115.226095,"Notaries, Professional Services, Shipping Centers, Printing Services, Mailbox Centers, Local Services"
"47","xY_te34Vjvi8Te-UEtGypQ","Dollar Tree","4628 W Sahara Ave","Las Vegas","NV","89102",36.1465587298,-115.2047408989,"Discount Store, Shopping"
"48","mvMih24zuSw_dZyU_LEY7g","Pizza Hut","5105 E. Sahara Ave., #128","Las Vegas","NV","89142",36.1441807,-115.0628631,"Chicken Wings, Pizza, Restaurants"
"49","YyxB3K1ORzc7ChMKgyxm9Q","Subway","8790 S Maryland Pkwy","Las Vegas","NV","89123",36.0302336,-115.1354155,"Restaurants, Fast Food, Sandwiches"
"50","9SzxzTb2hQ7oVkWGm5M4ug","The UPS Store","4001 S Decatur Blvd, Ste 37","Las Vegas","NV","89103",36.1184157683,-115.2091278477,"Mailbox Centers, Notaries, Printing Services, Shipping Centers, Local Services"
"51","J1RKcr6BAqOI-LDFbn0TvQ","Subway","5757 Wayne Newton Blvd","Las Vegas","NV","89119",36.0854286,-115.149927,"Restaurants, Fast Food, Sandwiches"
"52","Lx3p5OmxGkbaCKq7G7FfPA","Albertsons","7975 Blue Diamond Rd","Las Vegas","NV","89178",36.0188890962,-115.263562032,"Drugstores, Grocery, Food, Shopping"
"53","kkD5pal9rRzE4PjeYSL9mA","Del Taco","348 N Nellis Blvd","Las Vegas","NV","89110",36.1662351,-115.0618588,"Restaurants, Mexican"
"54","yofHPSC24EsWTMJq3_6N6g","US Post Office","1801 S Decatur Blvd","Las Vegas","NV","89102",36.149524,-115.2064232,"Post Offices, Public Services & Government, Shipping Centers, Local Services"
"55","QzvLnOqwH6BIY_jCOvzuQQ","Pizza Hut","274 S. Decatur Blvd.","Las Vegas","NV","89107",36.1715690619,-115.2090418909,"Pizza, Restaurants"
